"","id","gender","time","performance","feedback","activity"
"509",21,2,5,89.9598596,"positive","emg_bi"
"510",21,2,6,88.399687,"positive","emg_bi"
"511",21,2,7,89.0106284,"positive","emg_bi"
"512",21,2,8,89.631668,"positive","emg_bi"
"513",21,2,9,87.1525586,"positive","emg_bi"
"514",21,2,10,86.3699477,"positive","emg_bi"
"515",21,2,11,87.9503168,"positive","emg_bi"
"516",21,2,12,86.7233849,"positive","emg_bi"
"517",22,2,1,90.2806678,"positive","emg_bi"
"518",22,2,2,92.348746,"positive","emg_bi"
"519",22,2,3,90.5189256,"positive","emg_bi"
"520",22,2,4,92.1867306,"positive","emg_bi"
"521",22,2,5,89.6611973,"positive","emg_bi"
"522",22,2,6,98.9151326,"positive","emg_bi"
"523",22,2,7,89.2609241,"positive","emg_bi"
"524",22,2,8,94.3310514,"positive","emg_bi"
"525",22,2,9,90.7857744,"positive","emg_bi"
"526",22,2,10,92.2153216,"positive","emg_bi"
"527",22,2,11,89.8375081,"positive","emg_bi"
"528",22,2,12,86.8735804,"positive","emg_bi"
"529",1,1,1,91.1245907,"no feedback","emg_bi"
"530",1,1,2,106.155106,"no feedback","emg_bi"
"531",1,1,3,94.6003275,"no feedback","emg_bi"
"532",1,1,4,86.9045847,"no feedback","emg_bi"
"533",1,1,5,87.1167014,"no feedback","emg_bi"
"534",1,1,6,78.3938672,"no feedback","emg_bi"
"535",1,1,7,93.2345936,"no feedback","emg_bi"
"536",1,1,8,88.4563858,"no feedback","emg_bi"
"537",1,1,9,83.7563263,"no feedback","emg_bi"
"538",1,1,10,81.0360226,"no feedback","emg_bi"
