,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,start-end,Conversational turns,Joint attention,Mutual gaze,time
459,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,237.42
460,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,237.92
461,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,238.42
462,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,238.92
463,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,239.42
464,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,239.92
465,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,240.42
466,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,240.92
467,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,241.42
468,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,241.92
469,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,242.42
470,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,242.92
471,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,243.42
472,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,243.92
473,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,244.42
474,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,244.92
475,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,245.42
476,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,245.92
477,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,246.42
478,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,246.92
479,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,247.42
480,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,247.92
481,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,248.42
482,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,248.92
483,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,249.42
484,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,249.92
485,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,250.42
486,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,250.92
487,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,251.42
488,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,251.92
489,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,252.42
490,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,252.92
491,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,253.42
492,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,253.92
493,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,254.42
494,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,254.92
495,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,255.42
